statefip,year,state_name,state_abb,effective_mw,mw_change,mw_level_change,mw_pct_change,emp_pop_ratio_all,emp_pop_ratio_teen,emp_pop_ratio_young_adult,emp_pop_ratio_prime_age,emp_pop_ratio_lt_hs,emp_pop_ratio_no_ba,emp_pop_ratio_male,emp_pop_ratio_female,emp_pop_ratio_teen_male,emp_pop_ratio_teen_female,lfpr_all,lfpr_teen,unemp_rate_all,unemp_rate_teen,pop_all,pop_teen,pop_young_adult,pop_lt_hs,pop_no_ba,n_obs_all,n_obs_teen,n_obs_young_adult,emplvl_total_private,emplvl_food_services,emplvl_retail,emplvl_accommodation_food,wkly_wage_total_private,wkly_wage_food_services
1,1990,Alabama,AL,3.8,1,0.45,0.1343,0.571272,0.381267,0.602280,0.765846,0.504345,0.540142,0.682071,0.473891,0.428706,0.333747,0.614802,0.464202,0.070803,0.178660,36891055,2778060,3735691,25336427,31456505,16817,1207,1529,1291089,77528,199047,91172,385,147
1,1991,Alabama,AL,4.25,1,0.45,0.1184,0.567687,0.364813,0.693035,0.738130,0.492422,0.532888,0.668541,0.478869,0.403139,0.328770,0.611937,0.452214,0.072312,0.193273,37364869,3251147,3735037,25072029,31626532,17751,1482,1575,1291641,82234,193606,95239,399,149
1,1992,Alabama,AL,4.25,0,0.0,0.0,0.575517,0.370703,0.689413,0.750140,0.337935,0.541173,0.673380,0.489536,0.403361,0.343259,0.622100,0.488231,0.074879,0.240723,37786926,2983886,3749662,11565013,32845854,17873,1361,1607,1319175,86706,196778,99836,420,155
1,1993,Alabama,AL,4.25,0,0.0,0.0,0.579237,0.374934,0.679679,0.756124,0.324563,0.544750,0.674409,0.494185,0.403513,0.349818,0.627031,0.486922,0.076222,0.229993,38271197,2989536,3768265,11176162,33060265,17505,1313,1529,1356310,91254,203515,104439,428,159
1,1994,Alabama,AL,4.25,0,0.0,0.0,0.591319,0.368571,0.686980,0.779868,0.324761,0.552958,0.687694,0.506078,0.437512,0.306816,0.629473,0.472095,0.060613,0.219287,38818106,3023568,3734568,11400049,33154824,16489,1234,1465,1387466,95687,210401,109223,443,165
1,1995,Alabama,AL,4.25,0,0.0,0.0,0.593651,0.430679,0.689784,0.771964,0.341991,0.558769,0.677717,0.519723,0.449215,0.411813,0.633981,0.558463,0.063615,0.228813,39063064,3345110,3704073,10917875,33303315,15841,1306,1320,1434779,100545,217483,114594,457,167
1,1996,Alabama,AL,4.75,1,0.5,0.1176,0.603775,0.411282,0.669201,0.784922,0.352825,0.567752,0.685649,0.532469,0.444070,0.377411,0.636516,0.495986,0.051439,0.170780,39492854,3493163,3683512,10437548,33363660,15442,1340,1296,1458895,104892,221972,119280,474,171
1,1997,Alabama,AL,5.15,1,0.4,0.0842,0.619941,0.384669,0.710410,0.793267,0.361470,0.581491,0.695975,0.549274,0.409065,0.355975,0.653106,0.473824,0.050781,0.188160,39800034,3391145,3494708,10280972,33215871,15401,1257,1223,1489210,109520,226571,124181,497,180
1,1998,Alabama,AL,5.15,0,0.0,0.0,0.613841,0.444947,0.682438,0.789191,0.348155,0.574806,0.694791,0.539415,0.478977,0.408020,0.641844,0.514155,0.043629,0.134605,40529892,3278909,3272209,9866056,33224200,15339,1163,1092,1522419,115450,229912,130731,510,184
1,1999,Alabama,AL,5.15,0,0.0,0.0,0.603436,0.387250,0.649199,0.800307,0.334488,0.564387,0.675465,0.537968,0.410037,0.360577,0.634022,0.466981,0.048242,0.170739,40609989,3358222,3625221,9721403,33219996,15877,1263,1227,1535049,119032,233740,134369,530,192
1,2000,Alabama,AL,5.15,0,0.0,0.0,0.598467,0.360755,0.689504,0.784885,0.325029,0.558237,0.672757,0.534112,0.353590,0.367053,0.628538,0.446500,0.047844,0.192038,40485876,3257124,3516562,9800996,33263341,16277,1286,1301,1539894,118713,233664,134058,547,197
1,2001,Alabama,AL,5.15,0,0.0,0.0,0.593124,0.380117,0.697792,0.769872,0.308946,0.552390,0.669367,0.526817,0.396712,0.364396,0.627487,0.457231,0.054764,0.168653,40600102,3200182,3584741,9468068,33358207,18778,1443,1492,1518804,120990,229327,135967,568,201
1,2002,Alabama,AL,5.15,0,0.0,0.0,0.582435,0.340037,0.687853,0.757677,0.292623,0.540610,0.653235,0.520055,0.319276,0.362569,0.618893,0.420595,0.058909,0.191534,40544425,3010177,3297675,9479197,32829283,19400,1445,1384,1492477,122800,228059,136868,587,206
1,2003,Alabama,AL,5.15,0,0.0,0.0,0.589347,0.331313,0.660889,0.771004,0.304268,0.547498,0.658564,0.527562,0.309233,0.355994,0.626093,0.410204,0.058692,0.192321,41474869,3099434,3302822,9294322,33204009,18844,1355,1299,1483039,125996,229326,139896,607,210
1,2004,Alabama,AL,5.15,0,0.0,0.0,0.585031,0.337856,0.635742,0.760187,0.343573,0.541977,0.659894,0.517857,0.349851,0.324953,0.621450,0.400040,0.058603,0.155445,41587014,3185377,3645973,9080246,33662415,17571,1271,1324,1509246,129764,232631,143869,631,212
1,2005,Alabama,AL,5.15,0,0.0,0.0,0.591230,0.309952,0.606150,0.771030,0.320668,0.547008,0.673416,0.517152,0.325323,0.295596,0.617322,0.392265,0.042266,0.209840,42123859,2900092,3829956,8843057,34169036,15051,983,1186,1548068,133422,236153,148145,654,218
1,2006,Alabama,AL,5.15,0,0.0,0.0,0.596870,0.326575,0.665895,0.758733,0.337764,0.558366,0.672073,0.528843,0.351235,0.305235,0.623546,0.381899,0.042781,0.144867,42682234,2701875,4088076,8673690,34685393,14229,857,1164,1574558,138015,235905,152700,683,224
1,2007,Alabama,AL,5.85,1,0.7,0.1359,0.591436,0.310915,0.635830,0.770548,0.354465,0.554443,0.656631,0.532567,0.329676,0.295127,0.616136,0.373791,0.040088,0.168214,43034211,2850850,4104318,8868871,34586453,13822,918,1150,1591980,141595,241460,156432,704,232
